district,state,dfsi,dfsi_relative_0_100,dfsi_rank,district_key,historical_flood_events,flood_proneness
Patna,BIHAR,19.300564104042078,100.0,1,PATNA,71,Very High
Murshidabad,WEST BENGAL,18.910883771379428,97.41180742281658,2,MURSHIDABAD,44,Very High
Thane,MAHARASHTRA,18.86178924193549,97.08572964563218,3,THANE,97,Very High
Guntur,ANDHRA PRADESH,18.83206907033492,96.88833316168952,4,GUNTUR,33,Very High
North Twenty Four Pargan*,WEST BENGAL,18.77053767455695,96.47965176704972,5,NORTH TWENTY FOUR PARGAN,0,Very High
Nagpur,MAHARASHTRA,18.687113593311008,95.9255627619317,6,NAGPUR,177,Very High
Purba Medinipur,WEST BENGAL,18.370425949562637,93.82217560037121,7,PURBA MEDINIPUR,37,Very High
Lakhimpur,ASSAM,18.33746571265321,93.60325913638574,8,LAKHIMPUR,218,Very High
Gorakhpur,UTTAR PRADESH,18.30257560143651,93.37152476516115,9,GORAKHPUR,64,Very High
Purba Champaran,BIHAR,18.29578760114369,93.32643998540912,10,PURBA CHAMPARAN,0,Very High
Kota,RAJASTHAN,18.28899123555501,93.28129964474,11,KOTA,51,Very High
Muzaffarpur,BIHAR,18.28701590256185,93.26817980839768,12,MUZAFFARPUR,63,Very High
Ballia,UTTAR PRADESH,18.282412575936064,93.23760527125899,13,BALLIA,65,Very High
Maldah,WEST BENGAL,18.258130027039368,93.07632458157138,14,MALDAH,17,Very High
Aurangabad,BIHAR,18.255102457499184,93.0562159634195,15,AURANGABAD,89,Very High
Rajkot,GUJARAT,18.23927454775029,92.95108959421196,16,RAJKOT,41,Very High
Cachar,ASSAM,18.140456924041366,92.29475921584576,17,CACHAR,153,Very High
Ahmadabad,GUJARAT,18.117122356772818,92.13977486397053,18,AHMADABAD,0,Very High
Aurangabad,BIHAR,18.09924752686318,92.02105318824616,19,AURANGABAD,89,Very High
Bahraich,UTTAR PRADESH,18.077352963427945,91.87563310461879,20,BAHRAICH,72,Very High
Dibrugarh,ASSAM,18.06823270299057,91.81505783718174,21,DIBRUGARH,155,Very High
Prayagraj,UTTAR PRADESH,18.06694088316479,91.80647778270145,22,PRAYAGRAJ,56,Very High
Chamoli,UTTARAKHAND,18.05798993917151,91.74702708719445,23,CHAMOLI,37,Very High
Darjiling,WEST BENGAL,18.01898148587533,91.48793936629583,24,DARJILING,0,Very High
Jalpaiguri,WEST BENGAL,18.00303602720487,91.38203225651519,25,JALPAIGURI,55,Very High
Azamgarh,UTTAR PRADESH,17.951289130056143,91.03833788996228,26,AZAMGARH,52,Very High
Pashchim Champaran,BIHAR,17.92933849820152,90.89254540912954,27,PASHCHIM CHAMPARAN,64,Very High
Amravati,MAHARASHTRA,17.907707348841942,90.74887487840026,28,AMRAVATI,80,Very High
Medinipur West,WEST BENGAL,17.869045637008952,90.49209015718114,29,MEDINIPUR WEST,0,Very High
Samastipur,BIHAR,17.76199430185416,89.78107282373755,30,SAMASTIPUR,57,Very High
Darbhanga,BIHAR,17.744619139380248,89.66566985681064,31,DARBHANGA,67,Very High
Alappuzha,KERALA,17.725461969849633,89.5384310925646,32,ALAPPUZHA,113,Very High
Surat,GUJARAT,17.686867251651705,89.28209133203364,33,SURAT,47,Very High
Kachchh,GUJARAT,17.66899887709203,89.16341253168034,34,KACHCHH,31,Very High
Shimla,HIMACHAL PRADESH,17.6226469397165,88.85555059922486,35,SHIMLA,113,Very High
Bhagalpur,BIHAR,17.604486494190635,88.73493191162719,36,BHAGALPUR,54,Very High
Madhubani,BIHAR,17.604319048943815,88.7338197678812,37,MADHUBANI,67,Very High
Raigarh,CHHATTISGARH,17.570758110656712,88.51091354429926,38,RAIGARH,52,Very High
Bharuch,GUJARAT,17.568946762319865,88.49888286703082,39,BHARUCH,50,Very High
