train_number_clean,train_name,from_station_code,from_station_name,to_station_code,to_station_name,distance_km,duration_hours,duration_minutes
11108,Varanasi-Gwalior Bundelkhand Express,BSB,VARANASI JN,GWL,GWALIOR JN,624.0,14.0,50.0
11109,Jhansi-Lucknow Intercity Express,JHS,JHANSI JN,LKO,LUCKNOW,292.0,5.0,50.0
11110,Lucknow-Jhansi InterCity,LKO,LUCKNOW,JHS,JHANSI JN,292.0,6.0,5.0
11123,Barauni-Gwalior Mail,BJU,BARAUNI JN,GWL,GWALIOR JN,1055.0,26.0,15.0
11124,Gwalior Barauni Mail,GWL,GWALIOR JN,BJU,BARAUNI JN,1055.0,25.0,20.0
11125,Indore Gwalior Express,INDB,INDORE JN BG,GWL,GWALIOR JN,562.0,12.0,10.0
11126,Gwalior Indore Express,GWL,GWALIOR JN,INDB,INDORE JN BG,562.0,12.0,20.0
11454,Prerna Express,NGP,NAGPUR,ADI,AHMEDABAD JN,959.0,18.0,5.0
11105,Pratham Swatantrata Sangram Express,KOAA,KOLKATA CHITPUR,JHS,JHANSI JN,1326.0,25.0,25.0
11106,Pratham Swatantrata Sangram Express,JHS,JHANSI JN,KOAA,KOLKATA CHITPUR,1326.0,25.0,5.0
11266,AMBIKAPUR - JABALPUR Exp,ABKP,AMBIKAPUR,JBP,JABALPUR,433.0,8.0,50.0
11401,Nandigram Express,CSTM,MUMBAI CST,NGP,NAGPUR,1139.0,23.0,40.0
11402,Nandigram Express,NGP,NAGPUR,CSTM,MUMBAI CST,1139.0,23.0,40.0
11403,NAGPUR - KOLHAPUR EXP,NGP,NAGPUR,KOP,C SHAHU M RAJ KOLHAPUR TERM,1038.0,24.0,25.0
11404,KOLHAPUR - NAGPUR EXP,KOP,C SHAHU M RAJ KOLHAPUR TERM,NGP,NAGPUR,1038.0,23.0,45.0
11423,Solapur - Hubli Express,SUR,SOLAPUR JN,UBL,HUBLI JN,358.0,8.0,5.0
11424,Hubli Jn - Solapur Express,UBL,HUBLI JN,SUR,SOLAPUR JN,357.0,8.0,15.0
11447,JABALPUR - KOL HOWRAH Shaktipunj Exp,JBP,JABALPUR,HWH,HOWRAH JN,1152.0,27.0,45.0
11448,HOWRAH - JABALPUR Shaktipunj Exp,HWH,HOWRAH JN,JBP,JABALPUR,1152.0,25.0,15.0
11449,JABALPUR - SHRI MATA VAISHNO DEVI KATRA Express,JBP,JABALPUR,SVDK,S M V D KATRA,1509.0,31.0,10.0
11450,SHRI MATA VAISHNO DEVI KATRA - JABALPUR Express,SVDK,S M V D KATRA,JBP,JABALPUR,1509.0,32.0,55.0
11451,JABALPUR - REWA Intercity Exp,JBP,JABALPUR,REWA,REWA,238.0,4.0,35.0
11452,REWA - JABALPUR Intercity Exp,REWA,REWA,JBP,JABALPUR,238.0,4.0,25.0
11453,Prerna Express,ADI,AHMEDABAD JN,NGP,NAGPUR,959.0,19.0,50.0
11463,Somnath-Jabalpur Express,SMNH,SOMNATH,JBP,JABALPUR,1415.0,29.0,30.0
11464,Jabalpur-Somnath Express,JBP,JABALPUR,SMNH,SOMNATH,1415.0,29.0,55.0
11471,Indore-Jabalpur Overnight Express,INDB,INDORE JN BG,JBP,JABALPUR,555.0,11.0,55.0
11472,Jabalpur-Indore Express,JBP,JABALPUR,INDB,INDORE JN BG,555.0,11.0,30.0
12189,JABALPUR - DELHI H NIZAMUDDIN Mahakoshal SF Exp,JBP,JABALPUR,NZM,DELHI H NIZAMUDDIN,961.0,17.0,25.0
11465,SOMNATH - JABALPUR Exp (via Bina),SMNH,SOMNATH,JBP,JABALPUR,1570.0,32.0,50.0
