train_number,train_name,from_station_name,to_station_name,distance_km,district,dfsi,historical_flood_events,flood_proneness
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Sant Ravi Das Nagar,,,
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Varanasi,17.20928123007672,55.0,Very High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Jaunpur,16.67693934713436,47.0,Very High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Tikamgarh,10.89427204404565,13.0,Moderate
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Jhansi,15.684866276313064,25.0,High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Datia,11.492406961849484,12.0,Moderate
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Gwalior,13.086771542139497,21.0,High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Rewa,14.768595828074591,21.0,High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Chhatarpur,12.460824774657857,17.0,High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Chitrakoot,14.4798686527041,29.0,High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Allahabad,,,
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Mahoba,12.917103678722318,26.0,High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Banda,16.059900808320847,34.0,Very High
11108,Varanasi-Gwalior Bundelkhand Express,VARANASI JN,GWALIOR JN,624.0,Kaushambi,14.462724521248196,32.0,High
11109,Jhansi-Lucknow Intercity Express,JHANSI JN,LUCKNOW,292.0,Jhansi,15.684866276313064,25.0,High
11109,Jhansi-Lucknow Intercity Express,JHANSI JN,LUCKNOW,292.0,Jalaun,16.4785904772343,33.0,Very High
11109,Jhansi-Lucknow Intercity Express,JHANSI JN,LUCKNOW,292.0,Kanpur,,,
11109,Jhansi-Lucknow Intercity Express,JHANSI JN,LUCKNOW,292.0,Kanpur Dehat,16.056076897408293,0.0,Very High
11109,Jhansi-Lucknow Intercity Express,JHANSI JN,LUCKNOW,292.0,Unnao,16.230177745178764,45.0,Very High
11109,Jhansi-Lucknow Intercity Express,JHANSI JN,LUCKNOW,292.0,Lucknow,16.858658560379418,52.0,Very High
11110,Lucknow-Jhansi InterCity,LUCKNOW,JHANSI JN,292.0,Jhansi,15.684866276313064,25.0,High
11110,Lucknow-Jhansi InterCity,LUCKNOW,JHANSI JN,292.0,Jalaun,16.4785904772343,33.0,Very High
11110,Lucknow-Jhansi InterCity,LUCKNOW,JHANSI JN,292.0,Kanpur,,,
11110,Lucknow-Jhansi InterCity,LUCKNOW,JHANSI JN,292.0,Kanpur Dehat,16.056076897408293,0.0,Very High
11110,Lucknow-Jhansi InterCity,LUCKNOW,JHANSI JN,292.0,Unnao,16.230177745178764,45.0,Very High
11110,Lucknow-Jhansi InterCity,LUCKNOW,JHANSI JN,292.0,Lucknow,16.858658560379418,52.0,Very High
11123,Barauni-Gwalior Mail,BARAUNI JN,GWALIOR JN,1055.0,Begusarai,17.41078092869951,50.0,Very High
11123,Barauni-Gwalior Mail,BARAUNI JN,GWALIOR JN,1055.0,Vaishali,16.699429152017437,45.0,Very High
