-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  19.07   longitude 72.88 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,PRECTOTCORR
2015,1,0.1
2015,2,0.01
2015,3,0.02
2015,4,0.0
2015,5,0.0
2015,6,0.0
2015,7,0.0
2015,8,0.0
2015,9,0.0
2015,10,0.0
2015,11,0.0
2015,12,0.0
2015,13,0.0
2015,14,0.0
2015,15,0.0
2015,16,0.0
2015,17,0.0
2015,18,0.0
2015,19,0.0
2015,20,0.0
2015,21,0.0
2015,22,0.32
2015,23,0.0
2015,24,0.04
2015,25,0.37
2015,26,0.0
2015,27,0.0
2015,28,0.0
2015,29,0.0
2015,30,0.0
2015,31,0.0
2015,32,0.0
2015,33,0.0
2015,34,0.0
2015,35,0.0
2015,36,0.0
2015,37,0.01
2015,38,0.0
2015,39,0.0
2015,40,0.0
2015,41,0.01
2015,42,0.03
2015,43,0.0
2015,44,0.0
2015,45,0.0
2015,46,0.0
2015,47,0.0
2015,48,0.0
2015,49,0.0
2015,50,0.0
2015,51,0.0
2015,52,0.0
2015,53,0.0
2015,54,0.0
2015,55,0.0
2015,56,0.0
2015,57,0.0
2015,58,0.0
2015,59,1.74
2015,60,40.68
2015,61,0.23
2015,62,0.0
2015,63,0.0
2015,64,0.0
2015,65,0.0
2015,66,0.0
2015,67,0.0
2015,68,0.0
2015,69,0.26
2015,70,0.18
2015,71,0.0
2015,72,0.77
2015,73,2.05
2015,74,1.24
2015,75,0.07
2015,76,0.0
2015,77,0.0
2015,78,0.02
2015,79,0.03
2015,80,0.19
2015,81,0.23
2015,82,0.12
2015,83,0.09
2015,84,0.07
2015,85,0.11
2015,86,0.48
2015,87,0.19
2015,88,2.5
2015,89,0.75
2015,90,0.0
2015,91,0.0
2015,92,0.0
2015,93,0.0
2015,94,0.0
2015,95,0.03
2015,96,0.0
2015,97,0.01
2015,98,0.0
2015,99,0.03
2015,100,0.17
2015,101,0.23
2015,102,0.12
2015,103,0.55
2015,104,0.14
2015,105,0.04
2015,106,0.02
2015,107,0.07
2015,108,0.02
2015,109,0.01
2015,110,0.04
2015,111,0.1
2015,112,0.07
2015,113,0.03
2015,114,0.01
2015,115,0.01
2015,116,0.0
2015,117,0.02
2015,118,0.04
2015,119,0.04
2015,120,0.02
2015,121,0.3
2015,122,0.33
2015,123,0.44
2015,124,0.29
2015,125,1.0
2015,126,0.71
2015,127,0.09
2015,128,0.31
2015,129,0.46
2015,130,0.38
2015,131,0.73
2015,132,1.25
2015,133,14.22
2015,134,8.28
2015,135,1.88
2015,136,0.82
2015,137,0.08
2015,138,0.02
2015,139,0.02
2015,140,0.07
2015,141,0.02
2015,142,0.01
2015,143,0.01
2015,144,0.01
2015,145,0.0
2015,146,0.09
2015,147,0.18
2015,148,0.2
2015,149,0.31
2015,150,0.7
2015,151,0.52
2015,152,0.87
2015,153,0.49
2015,154,0.41
2015,155,3.11
2015,156,5.92
2015,157,2.0
2015,158,16.51
2015,159,9.52
2015,160,8.71
2015,161,5.96
2015,162,37.67
2015,163,31.02
2015,164,20.74
2015,165,23.62
2015,166,9.26
2015,167,12.47
2015,168,16.82
2015,169,117.92
2015,170,83.8
2015,171,62.38
2015,172,132.4
2015,173,73.43
2015,174,75.64
2015,175,29.42
2015,176,16.02
2015,177,1.44
2015,178,0.38
2015,179,0.85
2015,180,2.01
2015,181,3.08
2015,182,1.66
2015,183,0.22
2015,184,0.31
2015,185,0.37
2015,186,0.14
2015,187,0.15
2015,188,1.21
2015,189,1.93
2015,190,1.96
2015,191,1.91
2015,192,3.9
2015,193,1.18
2015,194,0.67
2015,195,0.3
2015,196,0.52
2015,197,2.2
2015,198,2.51
2015,199,4.17
2015,200,5.97
2015,201,42.52
2015,202,38.8
2015,203,24.98
2015,204,18.29
2015,205,22.78
2015,206,16.33
2015,207,7.38
2015,208,16.99
2015,209,31.62
2015,210,15.04
2015,211,10.14
2015,212,5.5
2015,213,3.13
2015,214,1.28
2015,215,1.21
2015,216,2.92
2015,217,11.48
2015,218,5.93
2015,219,3.16
2015,220,4.89
2015,221,5.09
2015,222,2.66
2015,223,4.02
2015,224,3.06
2015,225,2.74
2015,226,5.65
2015,227,4.2
2015,228,5.0
2015,229,7.73
2015,230,0.65
2015,231,0.04
2015,232,0.09
2015,233,1.47
2015,234,1.3
2015,235,0.76
2015,236,2.47
2015,237,8.38
2015,238,4.73
2015,239,3.59
2015,240,8.87
2015,241,6.6
2015,242,5.86
2015,243,3.8
2015,244,1.98
2015,245,0.73
2015,246,0.21
2015,247,0.09
2015,248,0.02
2015,249,0.01
2015,250,0.15
2015,251,10.88
2015,252,19.88
2015,253,24.42
2015,254,10.67
2015,255,38.52
2015,256,20.25
2015,257,14.35
2015,258,21.63
2015,259,9.79
2015,260,9.67
2015,261,28.17
2015,262,42.4
2015,263,26.23
2015,264,21.72
2015,265,3.15
2015,266,3.48
2015,267,0.11
2015,268,0.03
2015,269,0.04
2015,270,0.0
2015,271,0.0
2015,272,0.01
2015,273,0.03
2015,274,1.81
2015,275,8.58
2015,276,19.52
2015,277,8.33
2015,278,4.35
2015,279,0.26
2015,280,0.0
2015,281,0.01
2015,282,0.39
2015,283,3.25
2015,284,12.97
2015,285,7.91
2015,286,0.27
2015,287,0.01
2015,288,0.0
2015,289,0.0
2015,290,0.0
2015,291,0.01
2015,292,0.02
2015,293,0.0
2015,294,0.0
2015,295,0.03
2015,296,0.02
2015,297,0.0
2015,298,2.66
2015,299,1.16
2015,300,0.22
2015,301,0.32
2015,302,0.0
2015,303,0.0
2015,304,0.0
2015,305,0.0
2015,306,0.0
2015,307,0.0
2015,308,0.11
2015,309,0.05
2015,310,0.0
2015,311,0.02
2015,312,0.0
2015,313,0.0
2015,314,0.0
2015,315,0.0
2015,316,0.0
2015,317,0.0
2015,318,0.01
2015,319,0.0
2015,320,0.0
2015,321,0.0
2015,322,0.0
2015,323,0.0
2015,324,0.0
2015,325,1.55
2015,326,10.32
2015,327,15.61
2015,328,1.47
2015,329,0.19
2015,330,0.14
2015,331,0.0
2015,332,0.0
2015,333,0.0
2015,334,0.0
2015,335,0.0
2015,336,0.0
2015,337,0.0
2015,338,0.0
2015,339,0.0
2015,340,0.0
2015,341,0.0
2015,342,0.0
2015,343,0.0
2015,344,0.0
2015,345,0.0
2015,346,0.0
2015,347,0.0
2015,348,0.0
2015,349,0.0
2015,350,0.0
2015,351,0.0
2015,352,0.0
2015,353,0.0
2015,354,0.0
2015,355,0.0
2015,356,0.0
2015,357,0.0
2015,358,0.0
2015,359,0.0
2015,360,0.0
2015,361,0.0
2015,362,0.0
2015,363,0.0
2015,364,0.0
2015,365,0.0
2016,1,0.0
2016,2,0.0
2016,3,0.0
2016,4,0.0
2016,5,0.0
2016,6,0.0
2016,7,0.0
2016,8,0.0
2016,9,0.0
2016,10,0.0
2016,11,0.0
2016,12,0.0
2016,13,0.0
2016,14,0.1
2016,15,0.0
2016,16,0.07
2016,17,0.09
2016,18,0.0
2016,19,0.0
2016,20,0.0
2016,21,0.0
2016,22,0.0
2016,23,0.0
2016,24,0.0
2016,25,0.0
2016,26,0.0
2016,27,0.0
2016,28,0.0
2016,29,0.0
2016,30,0.03
2016,31,0.09
2016,32,0.0
2016,33,0.0
2016,34,0.0
2016,35,0.0
2016,36,0.64
2016,37,0.0
2016,38,0.0
2016,39,0.0
2016,40,0.0
2016,41,0.0
2016,42,0.0
2016,43,0.0
2016,44,0.0
2016,45,0.0
2016,46,0.0
2016,47,0.0
2016,48,1.46
2016,49,0.0
2016,50,0.0
2016,51,0.0
2016,52,0.0
2016,53,2.48
2016,54,3.79
2016,55,8.72
2016,56,0.0
2016,57,0.0
2016,58,0.34
2016,59,0.78
2016,60,1.65
2016,61,1.2
2016,62,0.58
2016,63,0.06
2016,64,1.61
2016,65,0.07
2016,66,0.0
2016,67,0.0
2016,68,0.0
2016,69,0.06
2016,70,0.0
2016,71,0.09
2016,72,0.03
2016,73,0.0
2016,74,0.01
2016,75,0.0
2016,76,0.01
2016,77,0.0
2016,78,0.0
2016,79,0.0
2016,80,0.0
2016,81,0.0
2016,82,0.0
2016,83,0.01
2016,84,0.01
2016,85,0.03
2016,86,0.01
2016,87,0.07
2016,88,0.12
2016,89,0.06
2016,90,0.0
2016,91,0.0
2016,92,0.0
2016,93,0.0
2016,94,0.04
2016,95,0.04
2016,96,0.37
2016,97,0.05
2016,98,0.21
2016,99,0.0
2016,100,0.0
2016,101,0.07
2016,102,0.0
2016,103,0.0
2016,104,0.0
2016,105,0.0
2016,106,0.0
2016,107,0.0
2016,108,0.0
2016,109,0.07
2016,110,0.04
2016,111,0.17
2016,112,0.0
2016,113,0.0
2016,114,0.02
2016,115,0.29
2016,116,0.0
2016,117,0.0
2016,118,0.03
2016,119,0.11
2016,120,0.06
2016,121,0.04
2016,122,0.06
2016,123,0.0
2016,124,0.01
2016,125,0.03
2016,126,0.03
2016,127,0.43
2016,128,0.21
2016,129,0.72
2016,130,1.43
2016,131,1.67
2016,132,0.91
2016,133,0.84
2016,134,1.07
2016,135,0.46
2016,136,0.22
2016,137,0.04
2016,138,0.02
2016,139,0.04
2016,140,0.1
2016,141,0.11
2016,142,0.04
2016,143,0.01
2016,144,0.2
2016,145,0.09
2016,146,0.04
2016,147,0.14
2016,148,0.06
2016,149,0.02
2016,150,0.04
2016,151,0.05
2016,152,0.2
2016,153,0.34
2016,154,0.4
2016,155,0.36
